Pays;Indice_performance_logistique_2016;Population;IDH;Revenu_national_brut;production_co2;Importations - Quantité;Production;Disponibilité intérieure;Nourriture;Disponibilité alimentaire en quantité (kg/personne/an);Taux_de_change;Index_Maximum_Conectivité_maritime;Political_Stability;PIB_par_habitant
Lesotho;1,961644;2091534;0,518;3031,409555;1,173731816;15;2;17;17;7,93;13,32380142;0;-0,19;1062,712399
Lituanie;3,571429;2845414;0,876;32541,17287;4,769710137;44;118;82;80;28,19;0,885205508;13,95;0,78;16885,40739
Luxembourg;4,235;591910;0,919;82296,95125;15,64646652;11;0;11;11;18,33;0,885205508;0;1,33;110193,2138
Lettonie;3,235385;1951097;0,86;28601,52573;3,69786843;43;33;41;41;20,89;0,885205508;7,535;0,46;15695,11515
Maroc;2,46142;35581255;0,67;7168,724522;1,732052453;3;762;746;746;20,96;9,691997889;64,5725;-0,37;3288,502686
République de Moldova;2,352941;4059684;0,765;12315,48679;1,285937526;16;54;66;66;16,14;18,49903489;0,73;-0,32;3454,95469
Madagascar;2,118222;25570512;0,507;1541,173158;0,16120522;0;81;82;73;2,87;3116,11;8,955;-0,3;503,4980587
Maldives;2,567635;496402;0,746;16631,32167;3,048335825;12;0;12;7;13,5;15,38696851;5,0475;0,23;10063,00371
Mexique;2,890923;124777324;0,775;19209,21915;3,685358728;972;3249;4219;4058;32,52;18,92651667;44,62;-0,72;9434,378179
Macédoine du Nord;2,581145;2081996;0,773;15084,56736;3,604185599;40;2;41;41;19,73;54,66545833;0;-0,25;5450,497035
Mali;2,299231;18512430;0,426;2173,555623;0,190920371;1;48;52;52;2,83;580,6567496;0;-1,91;795,6828021
Malte;2,942857;437933;0,901;38304,2029;3,560818664;9;4;14;12;27,17;0,885205508;47,6925;1,25;28823,34576
Myanmar;2,329592;53382523;0,58;4109,517194;0,463966456;3;1662;1666;1621;30,37;1360,358707;9;-1,08;1175,202555
Monténégro;2,068271;627563;0,83;20086,50445;3,351217328;8;4;10;10;15,98;0,885205508;4,0025;-0,06;7803,362579
Mongolie;2,051282;3113786;0,732;9773,631152;11,00422444;10;0;9;9;2,77;2439,777201;0;0,79;3708,248221
Mozambique;2,238017;28649018;0,445;1245,447702;0,290512575;24;92;116;103;3,59;63,58432291;10,5025;-0,93;462,6999701
Mauritanie;1,542857;4282570;0,545;5035,931643;0,833308037;24;5;22;22;5,14;35,79441667;8,9825;-0,63;1634,642845
Malaisie;3,447615;31104646;0,805;25910,44685;8,055430047;68;1724;1621;1220;39,21;4,300440878;91,9875;0,12;9979,704757
Namibie;2,763889;2402633;0,635;9987,117622;1,754824811;29;11;28;28;11,53;13,3129;15,69;0,63;5453,570623
Niger;2,222419;21602382;0,39;1206,403432;0,092846243;3;19;21;20;0,94;580,6567496;0;-1,27;514,5432689
Nigéria;2,398846;190873244;0,526;5031,603971;0,597482379;0;201;202;192;1,01;305,7901092;21,5925;-2;1941,879485
Nicaragua;2,49933;6384846;0,659;5694,054636;0,862072476;6;143;138;138;21,59;30,05094134;8,62;-0,05;2127,277659
Norvège;3,9545;5296326;0,959;66403,54684;8,377883083;2;101;102;101;19,05;8,271666667;8,6525;1,17;76131,8384
Népal;2,266667;27632681;0,594;3601,108877;0,42151176;0;58;58;55;1,99;104,5118852;0;-0,69;1027,965474
